ID_Atendimento;Data_Atendimento;Tipo_Atendimento;Status;Meio_Contato;Tempo_Resolucao_minutos;Avaliacao
1;2023-10-25 18:32:57;Suporte Técnico;Resolvido;Telefone;28;5
2;2023-04-21 23:10:29;Suporte Técnico;Pendente;Chat Online;16;2
3;2023-03-02 12:47:03;Informação;Sem Solução;WhatsApp;2;0
4;2024-08-25 21:27:16;Suporte Técnico;Pendente;E-mail;63;2
5;2024-01-11 01:49:56;Reclamação;Sem Solução;WhatsApp;39;0
6;2023-02-01 07:35:49;Reclamação;Sem Solução;WhatsApp;109;4
7;2023-02-11 08:42:57;Informação;Resolvido;Chat Online;88;5
8;2023-08-22 06:38:53;Reclamação;Pendente;E-mail;9;0
9;2024-04-08 16:35:13;Cancelamento;Encaminhado;Chat Online;38;0
10;2023-11-30 20:14:10;Cancelamento;Pendente;Telefone;7;2
11;2024-10-01 09:21:19;Suporte Técnico;Encaminhado;Telefone;70;2
12;2024-06-07 18:46:09;Suporte Técnico;Resolvido;WhatsApp;14;2
13;2024-06-02 09:38:10;Informação;Pendente;WhatsApp;22;4
14;2023-09-22 05:33:24;Vendas;Pendente;WhatsApp;10;1
15;2024-08-11 11:20:30;Reclamação;Pendente;WhatsApp;81;5
16;2024-02-23 23:40:13;Cancelamento;Sem Solução;WhatsApp;89;2
17;2023-03-04 19:25:55;Reclamação;Encaminhado;WhatsApp;59;5
18;2023-01-13 02:26:05;Vendas;Resolvido;E-mail;106;5
19;2023-10-10 11:49:02;Suporte Técnico;Pendente;WhatsApp;58;4
20;2024-07-05 19:36:27;Informação;Pendente;E-mail;88;1
21;2024-04-19 14:45:45;Reclamação;Resolvido;Telefone;87;2
22;2023-05-10 19:05:08;Suporte Técnico;Encaminhado;Chat Online;;3
23;2024-05-31 19:02:29;Informação;Encaminhado;Chat Online;49;4
24;2023-02-12 12:17:08;Vendas;Encaminhado;Telefone;59;0
25;2023-07-25 08:39:47;Cancelamento;Sem Solução;Chat Online;4;4
26;2023-09-24 20:13:31;Suporte Técnico;Sem Solução;Telefone;61;2
27;2024-03-19 00:11:27;Vendas;Resolvido;Telefone;;2
28;2023-09-18 17:49:10;Reclamação;Resolvido;Chat Online;67;1
29;2024-01-22 21:54:21;Vendas;Sem Solução;Telefone;82;3
30;2023-01-21 02:18:32;Reclamação;Resolvido;WhatsApp;5;1
31;2024-03-18 07:53:28;Reclamação;Sem Solução;Telefone;46;5
32;2024-11-02 20:15:11;Suporte Técnico;Resolvido;Chat Online;110;5
33;2023-08-07 04:56:11;Suporte Técnico;Resolvido;WhatsApp;14;4
34;2024-10-14 06:24:47;Suporte Técnico;Pendente;Telefone;67;0
35;2023-07-06 06:31:55;Reclamação;Sem Solução;Telefone;52;3
36;2023-10-14 03:41:12;Suporte Técnico;Encaminhado;Telefone;40;2
37;2024-04-08 00:08:14;Vendas;Sem Solução;WhatsApp;69;2
38;2023-09-22 06:50:31;Informação;Pendente;Telefone;77;5
39;2023-01-24 14:56:31;Reclamação;Encaminhado;Telefone;95;2
40;2023-03-10 12:32:17;Suporte Técnico;Sem Solução;Chat Online;73;5
41;2023-06-02 12:02:31;Suporte Técnico;Resolvido;Telefone;90;0
42;2023-04-08 05:35:32;Suporte Técnico;Encaminhado;WhatsApp;27;5
43;2024-06-09 06:35:17;Suporte Técnico;Resolvido;Chat Online;31;3
44;2024-02-15 15:09:29;Informação;Resolvido;WhatsApp;70;4
45;2024-06-15 20:32:41;Suporte Técnico;Pendente;Chat Online;111;4
46;2024-03-08 07:23:10;Informação;Resolvido;Telefone;116;0
47;2024-11-07 09:46:55;Suporte Técnico;Encaminhado;Telefone;27;0
48;2023-07-01 06:14:44;Suporte Técnico;Pendente;E-mail;2;3
49;2023-07-13 21:34:11;Cancelamento;Pendente;WhatsApp;15;4
50;2023-09-03 02:10:36;Suporte Técnico;Resolvido;Chat Online;82;5
51;2024-08-14 13:38:51;Informação;Sem Solução;Chat Online;87;2
52;2023-03-28 13:19:20;Vendas;Pendente;Telefone;66;2
53;2024-10-07 07:39:35;Suporte Técnico;Sem Solução;WhatsApp;115;1
54;2024-03-23 08:16:17;Suporte Técnico;Resolvido;E-mail;116;0
55;2023-10-16 01:33:31;Vendas;Sem Solução;WhatsApp;24;4
56;2023-04-03 04:39:48;Informação;Pendente;WhatsApp;;2
57;2024-06-25 03:15:36;Reclamação;Encaminhado;WhatsApp;53;5
58;2023-02-20 15:09:34;Suporte Técnico;Pendente;WhatsApp;15;2
59;2023-05-02 03:07:17;Cancelamento;Sem Solução;WhatsApp;111;2
60;2024-06-28 12:16:12;Reclamação;Sem Solução;Chat Online;94;0
61;2024-08-20 23:33:21;Reclamação;Encaminhado;Chat Online;110;5
62;2023-09-26 08:47:17;Vendas;Pendente;Chat Online;16;5
63;2023-12-16 16:51:03;Cancelamento;Resolvido;E-mail;51;5
64;2023-07-03 18:38:58;Cancelamento;Sem Solução;Telefone;41;4
65;2023-01-06 04:56:14;Reclamação;Resolvido;Telefone;76;3
66;2024-07-19 19:28:18;Cancelamento;Encaminhado;E-mail;97;3
67;2024-10-08 02:15:16;Suporte Técnico;Sem Solução;Telefone;60;1
68;2024-01-12 21:57:06;Suporte Técnico;Resolvido;Chat Online;22;4
69;2024-01-14 09:43:08;Vendas;Sem Solução;Chat Online;6;4
70;2023-04-18 16:04:44;Suporte Técnico;Encaminhado;E-mail;104;2
